C(t);H(t-1);L(t-1);O(t)
1.1207300;1.1223000;1.1182000;1.1199700
1.1216000;1.1208100;1.1194000;1.1207400
1.1176200;1.1230800;1.1161000;1.1215500
1.1142800;1.1228600;1.1168000;1.1176200
1.1110400;1.1190800;1.1129000;1.1142800
1.1090000;1.1158500;1.1090000;1.1110400
1.1092000;1.1111400;1.1065000;1.1094900
1.1081400;1.1101200;1.1087000;1.1092000
1.1097200;1.1113700;1.1075000;1.1080000
1.1090200;1.1107000;1.1064000;1.1096500
1.1083600;1.1107100;1.1080000;1.1090300
1.1143100;1.1113300;1.1062000;1.1083500
1.1142000;1.1153200;1.1050000;1.1144700
1.1101400;1.1163900;1.1138100;1.1143300
1.1089400;1.1152900;1.1093000;1.1100700
1.1085600;1.1116100;1.1084000;1.1088800
1.1058800;1.1098100;1.1072000;1.1085500
1.0989000;1.1093300;1.1041000;1.1059000
1.0990300;1.1060000;1.0961000;1.0987500
1.0964400;1.0997500;1.0981300;1.0990200
1.0972500;1.0993200;1.0956000;1.0964100
1.1034700;1.0978900;1.0924000;1.0972600
1.1033900;1.1038500;1.0970000;1.1033900
1.1028900;1.1084700;1.1016000;1.1033800
1.1020100;1.1057300;1.1018000;1.1024900
1.1046900;1.1028400;1.1018000;1.1020100
1.1050100;1.1068100;1.1014000;1.1047000
1.1013000;1.1059500;1.1029000;1.1050100
1.1055800;1.1055700;1.0983000;1.1013400
1.1071000;1.1087300;1.0926000;1.1056000
1.1083000;1.1109600;1.1055000;1.1075800
1.1002600;1.1087000;1.1067400;1.1083200
1.1073700;1.1084400;1.0991600;1.1003100
1.1029100;1.1075700;1.0989000;1.1073700
1.1044700;1.1075000;1.1012000;1.1029100
1.1017000;1.1073500;1.1021000;1.1044600
1.1017000;1.1067800;1.0995000;1.1011400
1.0993700;1.1020000;1.1008700;1.1018600
1.1013500;1.1025500;1.0964000;1.0993900
1.0951200;1.1024100;1.0982000;1.1012600
1.0921500;1.1017000;1.0936000;1.0951200
1.0939400;1.0967400;1.0907900;1.0922300
1.0942200;1.0958700;1.0903800;1.0938500
1.0899300;1.0946300;1.0937500;1.0942100
1.0933300;1.0947800;1.0883900;1.0899300
1.0960200;1.0942900;1.0878000;1.0933900
1.0974100;1.0963700;1.0903000;1.0960200
1.0975000;1.0999400;1.0939000;1.0974500
1.0982600;1.0999100;1.0956000;1.0982200
1.0971600;1.0984000;1.0967000;1.0983300
1.0959100;1.1000600;1.0960000;1.0971600
1.0984200;1.0996100;1.0939000;1.0959000
1.1010600;1.0990800;1.0953000;1.0983500
1.1035600;1.1033900;1.0978000;1.1010600
1.1027400;1.1062800;1.1000000;1.1044700
1.1026000;1.1045300;1.1024000;1.1027600
1.1034400;1.1042800;1.1011800;1.1025800
1.1073700;1.1046100;1.0989000;1.1033700
1.1123900;1.1085600;1.1021000;1.1073900
1.1182000;1.1139800;1.1063000;1.1124500
1.1155800;1.1183000;1.1113000;1.1145000
1.1151700;1.1164700;1.1135000;1.1155600
1.1129000;1.1179500;1.1137600;1.1150900
1.1132100;1.1157000;1.1116600;1.1128200
1.1102300;1.1140500;1.1105000;1.1131000
1.1079900;1.1163000;1.1091000;1.1102400
1.1083900;1.1123100;1.1071000;1.1084900
1.1097400;1.1084900;1.1074400;1.1083200
1.1111000;1.1106700;1.1071000;1.1098200
1.1152000;1.1118500;1.1072000;1.1112100
1.1156000;1.1155400;1.1078900;1.1152100
1.1164000;1.1175800;1.1130000;1.1156000
1.1166000;1.1171900;1.1127000;1.1164900
1.1127900;1.1170400;1.1161100;1.1166000
1.1073700;1.1175500;1.1120000;1.1127900
1.1070100;1.1140200;1.1062000;1.1074000
1.1052400;1.1092900;1.1063000;1.1069900
1.1018900;1.1091600;1.1034900;1.1052400
1.1021800;1.1055400;1.1015000;1.1017400
1.1034500;1.1025500;1.1016700;1.1021800
1.1011000;1.1043100;1.1015000;1.1034700
1.1009600;1.1038600;1.1001000;1.1011900
1.1019300;1.1020300;1.0994000;1.1009300
1.1051200;1.1027500;1.0988000;1.1019600
1.1053900;1.1057000;1.1013000;1.1051400
1.1072100;1.1054700;1.1046800;1.1053900
1.1076900;1.1090000;1.1052000;1.1072300
1.1077900;1.1083900;1.1061000;1.1078000
1.1065600;1.1081500;1.1051000;1.1077900
1.1022000;1.1097000;1.1051000;1.1065300
1.1022500;1.1087600;1.1013000;1.1024400
1.1009400;1.1025500;1.1012000;1.1022600
1.1022000;1.1032300;1.1002000;1.1010400
1.1004900;1.1025600;1.1006000;1.1022000
1.1011200;1.1022300;1.0990000;1.1005000
1.1017300;1.1018000;1.0999000;1.1011200
1.1018200;1.1028300;1.0980000;1.1013900
1.1076000;1.1027100;1.1013000;1.1018200
1.1081800;1.1090800;1.1001000;1.1075800
1.1082300;1.1093600;1.1065000;1.1081900
1.1103900;1.1116100;1.1065000;1.1082400
1.1056400;1.1108100;1.1078000;1.1103900
1.1058100;1.1109700;1.1038000;1.1054000
1.1064300;1.1061000;1.1053000;1.1058100
1.1092400;1.1078000;1.1052000;1.1064400
1.1132700;1.1097800;1.1061000;1.1092200
1.1183200;1.1144900;1.1069000;1.1132700
1.1122300;1.1199700;1.1101900;1.1183300
1.1124300;1.1186100;1.1110000;1.1126100
1.1135500;1.1133000;1.1118000;1.1124300
1.1151400;1.1158200;1.1121000;1.1135700
1.1114700;1.1174700;1.1128000;1.1151400
1.1122800;1.1151400;1.1109000;1.1115500
1.1075900;1.1144300;1.1106000;1.1123100
1.1080100;1.1123700;1.1065000;1.1076900
1.1092000;1.1086100;1.1075000;1.1080100
1.1086600;1.1096000;1.1068000;1.1091600
1.1094400;1.1094000;1.1068000;1.1087300
1.1100300;1.1102300;1.1072000;1.1094400
1.1175400;1.1109000;1.1081000;1.1101100
1.1180000;1.1188400;1.1097000;1.1178300
1.1201000;1.1184000;1.1169000;1.1181200
1.1211700;1.1221000;1.1179000;1.1201300
1.1218800;1.1239300;1.1197000;1.1215400
1.1170600;1.1222100;1.1208000;1.1218800
1.1159800;1.1224500;1.1162000;1.1170700
1.1160500;1.1180000;1.1123000;1.1165000
1.1195300;1.1168900;1.1157000;1.1160200
1.1154000;1.1205500;1.1155000;1.1195400
1.1112700;1.1197100;1.1132000;1.1154100
1.1109200;1.1168200;1.1100000;1.1112900
1.1120000;1.1120400;1.1092000;1.1109300
1.1116000;1.1129200;1.1084000;1.1117500
1.1134300;1.1122500;1.1110800;1.1116300
1.1127500;1.1147000;1.1111000;1.1134400
1.1152200;1.1144600;1.1103000;1.1127600
1.1136900;1.1163400;1.1117000;1.1152200
1.1088000;1.1172800;1.1127000;1.1136900
1.1094500;1.1142800;1.1084000;1.1094400
1.1096200;1.1098100;1.1086000;1.1093700
1.1085100;1.1102400;1.1075000;1.1095900
1.1095700;1.1118100;1.1079000;1.1085100
1.1055100;1.1098500;1.1069000;1.1095700
1.1025100;1.1108700;1.1035000;1.1055200
1.1024100;1.1061700;1.1019000;1.1023900
1.1018800;1.1037400;1.1022800;1.1024500
1.1021700;1.1037600;1.1008000;1.1019300
1.1013700;1.1025300;1.0996000;1.1022000
1.1028400;1.1027700;1.0991000;1.1013800
1.1091700;1.1039400;1.1005000;1.1028200
1.1089100;1.1095700;1.1015000;1.1084600
1.1061000;1.1095000;1.1078800;1.1089100
1.1044600;1.1089100;1.1034500;1.1062000
1.1000400;1.1064200;1.1031000;1.1044300
1.0980700;1.1047900;1.0992000;1.1000300
1.0944000;1.1014000;1.0963000;1.0980800
1.0949000;1.0985000;1.0940000;1.0946700
1.0910100;1.0951400;1.0940100;1.0948400
1.0918900;1.0957500;1.0906700;1.0910100
1.0874700;1.0924800;1.0890200;1.0918900
1.0840300;1.0925600;1.0863000;1.0874700
1.0830100;1.0889000;1.0833000;1.0841300
1.0840300;1.0861200;1.0825900;1.0824000
1.0835000;1.0844000;1.0818900;1.0841300
1.0794700;1.0851000;1.0827000;1.0836100
1.0809600;1.0837300;1.0783800;1.0794700
1.0787500;1.0812000;1.0780000;1.0808200
1.0847100;1.0821100;1.0776500;1.0786700
1.0838500;1.0863500;1.0785000;1.0846000
1.0848700;1.0848300;1.0809000;1.0838600
1.0879500;1.0872200;1.0804000;1.0848300
1.0886200;1.0890200;1.0828000;1.0879700
1.0996300;1.0908700;1.0854000;1.0886400
1.1028900;1.1006600;1.0883000;1.0996500
1.1051700;1.1053100;1.0948900;1.1012400
1.1144300;1.1073900;1.1009900;1.1050200
1.1176500;1.1184600;1.1034200;1.1143400
1.1138000;1.1212900;1.1094000;1.1175600
1.1222500;1.1187600;1.1094000;1.1138200
1.1285000;1.1245000;1.1118000;1.1222600
1.1386800;1.1354800;1.1210400;1.1290000
1.1399100;1.1396500;1.1290000;1.1387700
1.1313600;1.1496100;1.1354800;1.1399000
1.1260500;1.1425300;1.1273300;1.1313700
1.1182200;1.1366700;1.1249000;1.1261100
1.1105000;1.1333600;1.1053600;1.1182300
1.1155400;1.1221300;1.1053300;1.1098000
1.1163600;1.1199500;1.1047000;1.1153600
1.1016100;1.1236700;1.1082300;1.1163500
1.0943000;1.1189300;1.0952500;1.1015300
1.0654100;1.1045400;1.0800000;1.0943300
1.0692900;1.0949200;1.0652000;1.0654000
1.0688300;1.0831000;1.0635800;1.0690000
1.0763200;1.0712000;1.0633000;1.0686800
1.0797800;1.0828200;1.0656000;1.0761200
1.0888000;1.0888100;1.0743900;1.0798200
1.1046900;1.0894000;1.0758000;1.0887700
1.1140000;1.1058900;1.0872500;1.1047400
1.1136100;1.1147300;1.0951900;1.1140000
1.1029200;1.1144400;1.1103600;1.1136300
1.1026300;1.1138500;1.1008000;1.1028700
1.0950000;1.1043000;1.0924600;1.1025700
1.0845600;1.1036200;1.0900900;1.0951500
1.0812400;1.0964500;1.0819000;1.0845900
1.0804700;1.0855300;1.0770900;1.0820000
1.0798900;1.0821800;1.0801500;1.0805200
1.0893100;1.0835600;1.0767500;1.0798400
1.0859600;1.0926600;1.0788400;1.0893200
1.0922300;1.0897000;1.0827800;1.0859600
1.0928600;1.0951700;1.0839000;1.0922800
1.0930800;1.0952700;1.0917000;1.0943000
1.0919400;1.0950000;1.0929000;1.0931500
1.0982000;1.0967900;1.0890800;1.0919400
1.0903700;1.0990800;1.0913000;1.0982700
1.0857000;1.0987300;1.0855000;1.0903700
1.0873500;1.0907300;1.0815000;1.0858400
1.0863300;1.0892700;1.0810000;1.0848000
1.0863600;1.0878000;1.0848000;1.0863200
1.0855300;1.0896900;1.0839600;1.0862300
1.0806300;1.0880300;1.0814800;1.0856200
1.0773500;1.0885300;1.0801600;1.0805000
1.0824200;1.0846800;1.0753900;1.0773800
1.0820000;1.0829600;1.0725000;1.0822000
1.0824100;1.0824200;1.0807000;1.0819300
1.0831400;1.0860400;1.0810000;1.0824400
1.0875800;1.0888500;1.0807500;1.0832500
1.0943900;1.0885700;1.0828900;1.0877300
1.0979800;1.0972800;1.0831400;1.0944800
1.0960800;1.1019000;1.0933000;1.0978000
1.0902300;1.0978000;1.0952000;1.0960800
1.0838300;1.0961000;1.0894000;1.0903100
1.0797800;1.0926000;1.0823800;1.0838700
1.0834800;1.0844000;1.0780000;1.0797100
1.0837900;1.0841000;1.0764000;1.0835100
1.0837600;1.0875700;1.0813600;1.0839000
1.0808100;1.0839600;1.0820500;1.0837600
1.0845300;1.0850500;1.0799000;1.0809400
1.0820700;1.0885200;1.0782700;1.0845200
1.0805600;1.0896500;1.0810000;1.0821100
1.0817900;1.0824000;1.0773000;1.0804900
1.0818500;1.0851200;1.0787500;1.0838000
1.0913700;1.0838000;1.0806000;1.0818700
1.0926000;1.0927000;1.0798000;1.0913900
1.0978900;1.0976100;1.0900600;1.0925000
1.0949000;1.0999000;1.0923900;1.0978200
1.0900000;1.1008500;1.0935800;1.0948700
1.0907700;1.0956000;1.0883900;1.0898000
1.0901400;1.0908300;1.0888000;1.0907900
1.0978000;1.0914500;1.0869000;1.0900700
1.1016400;1.0996000;1.0895000;1.0978000
1.1077800;1.1030900;1.0932400;1.1016600
1.1106900;1.1093600;1.0990000;1.1077600
1.1115000;1.1145200;1.1068000;1.1105000
1.1125000;1.1122000;1.1101400;1.1115800
1.1184000;1.1154100;1.1099000;1.1124400
1.1233600;1.1196000;1.1113000;1.1183100
1.1335300;1.1257900;1.1177600;1.1234800
1.1287300;1.1362700;1.1193000;1.1334000
1.1315200;1.1384000;1.1276000;1.1271000
1.1303000;1.1319800;1.1271000;1.1315700
1.1331000;1.1318600;1.1266000;1.1303100
1.1366500;1.1363800;1.1239000;1.1331600
1.1286500;1.1422500;1.1320500;1.1366700
1.1260100;1.1403700;1.1285000;1.1287600
1.1251400;1.1340600;1.1211000;1.1248000
1.1337300;1.1258700;1.1225000;1.1251400
1.1263100;1.1338400;1.1225000;1.1335700
1.1241600;1.1353400;1.1226000;1.1265000
1.1207200;1.1293900;1.1205000;1.1242000
1.1176000;1.1261400;1.1184000;1.1207200
1.1176400;1.1254400;1.1166000;1.1190000
1.1277800;1.1194000;1.1167000;1.1176500
1.1312400;1.1281000;1.1172000;1.1277600
1.1249700;1.1348600;1.1231000;1.1312100
1.1216300;1.1325800;1.1246000;1.1249500
1.1217600;1.1259700;1.1189000;1.1217000
1.1221600;1.1239400;1.1193600;1.1224000
1.1246600;1.1228100;1.1215500;1.1221700
1.1233000;1.1287900;1.1217000;1.1245800
1.1250000;1.1262000;1.1188500;1.1233200
1.1237200;1.1275200;1.1182900;1.1251200
1.1246400;1.1302700;1.1221500;1.1237700
1.1246500;1.1251800;1.1217800;1.1243000
1.1311500;1.1249500;1.1240300;1.1245700
1.1273600;1.1345500;1.1245000;1.1312100
1.1336900;1.1332600;1.1256900;1.1274100
1.1287100;1.1351800;1.1260600;1.1337100
1.1297300;1.1370600;1.1278800;1.1288200
1.1308600;1.1325000;1.1253000;1.1299000
1.1343800;1.1317400;1.1297000;1.1307300
1.1408000;1.1374900;1.1299000;1.1344500
1.1416800;1.1411600;1.1322900;1.1410600
1.1387800;1.1452000;1.1389000;1.1417000
1.1425300;1.1441800;1.1369000;1.1387000
1.1441200;1.1443700;1.1376000;1.1402000
1.1454900;1.1445700;1.1402000;1.1441700
1.1534100;1.1467700;1.1401000;1.1455400
1.1563600;1.1542300;1.1421000;1.1533300
1.1594500;1.1601500;1.1504900;1.1564000
1.1656000;1.1627200;1.1538900;1.1595200
1.1648700;1.1658100;1.1579600;1.1651000
1.1768200;1.1656000;1.1638000;1.1649700
1.1718000;1.1781500;1.1648000;1.1768200
1.1780700;1.1773700;1.1697000;1.1718100
1.1871700;1.1806400;1.1712000;1.1779400
1.1771000;1.1876400;1.1728800;1.1872000
1.1780200;1.1908800;1.1760000;1.1779000
1.1760300;1.1796800;1.1770000;1.1780600
1.1813300;1.1788900;1.1694000;1.1760400
1.1872000;1.1815000;1.1720000;1.1813400
1.1874500;1.1904900;1.1798000;1.1871800
1.1787000;1.1916200;1.1816900;1.1875500
1.1781000;1.1882000;1.1754000;1.1783000
1.1735100;1.1792000;1.1772000;1.1780200
1.1734700;1.1800700;1.1734000;1.1736100
1.1793800;1.1808000;1.1720000;1.1734500
1.1815300;1.1817100;1.1709000;1.1793000
1.1840800;1.1864200;1.1792000;1.1815300
1.1851700;1.1850400;1.1780000;1.1839000
1.1874500;1.1853000;1.1831300;1.1852000
1.1946200;1.1881000;1.1827000;1.1874500
1.1843600;1.1965600;1.1872000;1.1946300
1.1869600;1.1952700;1.1829000;1.1843300
1.1795800;1.1871100;1.1801000;1.1868400
1.1797300;1.1882900;1.1753000;1.1796000
1.1792600;1.1806800;1.1787500;1.1798300
1.1833900;1.1849600;1.1782000;1.1793200
1.1839100;1.1843900;1.1782000;1.1833100
1.1820400;1.1840600;1.1771000;1.1839300
1.1900800;1.1901900;1.1761000;1.1820000
1.1917200;1.1919700;1.1809000;1.1904200
1.1935700;1.1920200;1.1897900;1.1916000
1.1922300;1.1966100;1.1883000;1.1936500
1.1845200;1.2011400;1.1900000;1.1921500
1.1840700;1.1924100;1.1821000;1.1845000
1.1838900;1.1864600;1.1787000;1.1840400
1.1834200;1.1865400;1.1779000;1.1839000
1.1818800;1.1850600;1.1832000;1.1833700
1.1766500;1.1848700;1.1808600;1.1818300
1.1803500;1.1827600;1.1755900;1.1765900
1.1823100;1.1834200;1.1751000;1.1802700
1.1845300;1.1917500;1.1799000;1.1822300
1.1840500;1.1874200;1.1822000;1.1832000
1.1866100;1.1847500;1.1832000;1.1840300
1.1841100;1.1888000;1.1831000;1.1867100
1.1804300;1.1900500;1.1838000;1.1841600
1.1847000;1.1882600;1.1786000;1.1804300
1.1839000;1.1856100;1.1736000;1.1846300
1.1845600;1.1870500;1.1825000;1.1840000
1.1762900;1.1850000;1.1838700;1.1845000
1.1704000;1.1871900;1.1730000;1.1762500
1.1655700;1.1771600;1.1690000;1.1705300
1.1673600;1.1719000;1.1648000;1.1655700
1.1630000;1.1687000;1.1625000;1.1673400
1.1634100;1.1685100;1.1611000;1.1633000
1.1676100;1.1637900;1.1613100;1.1634200
1.1741400;1.1680000;1.1613000;1.1675900
1.1723200;1.1745800;1.1663000;1.1741400
1.1743000;1.1755000;1.1683000;1.1723000
1.1716000;1.1769600;1.1715000;1.1743000
1.1719100;1.1744600;1.1694000;1.1710200
1.1788000;1.1720100;1.1704600;1.1718600
1.1736000;1.1797500;1.1716000;1.1788800
1.1765000;1.1807700;1.1729000;1.1736900
1.1766400;1.1782000;1.1723000;1.1764800
1.1826000;1.1781800;1.1731000;1.1766200
1.1814000;1.1831000;1.1755700;1.1805800
1.1812700;1.1823200;1.1795800;1.1814900
1.1742000;1.1826800;1.1785000;1.1812700
1.1744300;1.1814000;1.1728000;1.1742100
1.1705500;1.1771000;1.1718400;1.1744400
1.1715800;1.1757800;1.1687000;1.1705500
1.1714000;1.1746200;1.1692000;1.1715800
1.1768200;1.1722900;1.1709900;1.1714200
1.1828700;1.1793800;1.1701000;1.1768200
1.1850700;1.1840800;1.1758000;1.1828800
1.1813000;1.1880700;1.1827000;1.1851400
1.1859000;1.1866900;1.1810000;1.1814600
1.1847800;1.1865000;1.1785000;1.1858000
1.1808900;1.1859900;1.1838000;1.1847900
1.1780000;1.1850700;1.1801000;1.1808900
1.1747300;1.1838800;1.1768000;1.1781600
1.1678100;1.1788000;1.1716000;1.1748000
1.1645900;1.1758800;1.1648000;1.1677800
1.1641200;1.1704300;1.1638000;1.1638000
1.1640400;1.1651200;1.1637000;1.1641200
1.1760000;1.1656000;1.1621000;1.1640400
1.1731900;1.1764100;1.1635000;1.1761300
1.1816500;1.1771000;1.1601600;1.1732100
1.1874500;1.1859800;1.1709000;1.1816600
1.1892200;1.1891000;1.1794000;1.1875000
1.1823100;1.1895000;1.1875000;1.1892300
1.1818300;1.1920100;1.1794000;1.1824100
1.1779200;1.1843300;1.1778000;1.1818300
1.1804000;1.1832700;1.1744000;1.1779300
1.1832000;1.1823200;1.1757000;1.1803200
1.1844500;1.1837500;1.1797000;1.1809000
1.1858300;1.1848900;1.1809000;1.1844700
1.1863400;1.1869000;1.1812000;1.1859100
1.1845000;1.1894000;1.1841600;1.1863600
1.1865300;1.1891100;1.1843000;1.1844700
1.1855000;1.1882600;1.1814000;1.1865100
1.1865400;1.1890800;1.1848000;1.1858000
1.1842100;1.1866100;1.1850700;1.1865700
1.1896000;1.1906100;1.1798900;1.1842100
1.1916400;1.1898000;1.1837000;1.1897300
1.1910000;1.1929700;1.1880000;1.1916500
1.1963000;1.1940900;1.1884000;1.1910900
1.1971500;1.1964100;1.1908000;1.1956800
1.1937000;1.1973900;1.1956700;1.1972100
1.2069700;1.2003300;1.1921700;1.1937200
1.2113000;1.2076700;1.1934000;1.2070500
1.2144500;1.2118500;1.2038000;1.2113800
1.2120000;1.2174600;1.2099000;1.2144900
1.2120000;1.2177500;1.2109000;1.2113000
1.2109000;1.2133100;1.2112200;1.2119000
1.2109000;1.2166300;1.2077000;1.2108500
1.2077800;1.2134000;1.2094000;1.2109400
1.2142400;1.2147500;1.2057000;1.2078500
1.2111000;1.2159000;1.2077000;1.2142400
1.2132200;1.2163000;1.2103000;1.2114000
1.2148500;1.2143500;1.2110000;1.2132800
1.2154300;1.2176800;1.2114000;1.2147700
1.2195200;1.2168900;1.2119400;1.2154200
1.2260700;1.2212300;1.2123800;1.2196200
1.2255000;1.2272800;1.2188900;1.2261500
1.2210000;1.2268800;1.2224000;1.2252000
1.2234400;1.2252000;1.2210000;1.2211800
1.2186100;1.2253100;1.2128000;1.2234800
1.2193900;1.2257100;1.2150000;1.2186900
1.2183200;1.2221000;1.2152000;1.2194100
1.2183200;1.2215700;1.2173200;1.2181600
1.2202900;1.2205000;1.2161000;1.2189000
1.2219400;1.2207300;1.2179400;1.2202900
1.2252000;1.2250400;1.2180000;1.2218600
1.2297600;1.2275300;1.2217000;1.2252100
1.2213800;1.2310100;1.2250000;1.2298200
1.2213800;1.2309300;1.2207000;1.2213800
1.2249900;1.2213800;1.2213800;1.2240900
1.2252300;1.2252700;1.2229000;1.2249600
1.2297700;1.2309900;1.2237000;1.2252700
1.2338000;1.2305700;1.2246000;1.2298700
1.2268000;1.2349500;1.2264000;1.2337800
1.2219300;1.2344500;1.2243000;1.2269000
1.2187100;1.2284800;1.2191000;1.2218000
1.2159000;1.2228400;1.2181000;1.2186300
1.2208300;1.2199800;1.2131000;1.2160600
1.2161700;1.2209700;1.2135000;1.2207800
1.2150500;1.2222900;1.2138000;1.2161900
1.2074900;1.2178500;1.2110000;1.2150500
1.2065500;1.2162500;1.2072000;1.2083100
1.2076900;1.2088200;1.2065000;1.2066400
1.2139100;1.2086900;1.2052000;1.2077800
1.2114500;1.2145000;1.2075000;1.2138900
1.2165300;1.2158200;1.2075000;1.2114500
1.2170200;1.2173200;1.2107000;1.2165400
1.2167000;1.2189600;1.2150000;1.2169700
1.2142600;1.2171600;1.2160300;1.2166700
1.2162500;1.2183300;1.2114000;1.2142500
1.2102000;1.2176000;1.2106000;1.2163300
1.2119800;1.2169800;1.2057000;1.2102800
1.2136200;1.2142400;1.2079000;1.2120800
1.2122700;1.2156000;1.2092000;1.2132000
1.2067700;1.2142200;1.2119000;1.2122700
1.2036000;1.2136500;1.2053000;1.2067700
1.2041000;1.2087800;1.2010000;1.2036800
1.1965600;1.2050200;1.2002000;1.2041300
1.2047600;1.2043000;1.1956000;1.1966300
1.2048400;1.2050000;1.1951000;1.2046000
1.2051000;1.2055100;1.2032700;1.2048400
1.2115600;1.2066000;1.2018000;1.2052200
1.2119100;1.2122000;1.2048000;1.2115800
1.2129700;1.2144100;1.2107000;1.2117900
1.2119000;1.2149500;1.2111000;1.2129700
